id,iata_code,iata_country_code,name,inserted_at,updated_at,metropolitan_area
cit_abi_us,ABI,US,Abilene,2019-07-30T16:35:27.760998,2019-07-30T16:35:27.760998,
cit_act_us,ACT,US,Waco,2019-07-30T16:35:27.766898,2019-07-30T16:35:27.766898,
cit_adm_us,ADM,US,Ardmore,2019-07-30T16:35:27.772089,2019-07-30T16:35:27.772089,
cit_adq_us,ADQ,US,Kodiak,2019-07-30T16:35:27.777404,2019-07-30T16:35:27.777404,
cit_aex_us,AEX,US,Alexandria,2019-07-30T16:35:27.782213,2019-07-30T16:35:27.782213,
cit_akl_nz,AKL,NZ,Auckland,2019-07-30T16:35:27.796521,2019-07-30T16:35:27.796521,
cit_alm_us,ALM,US,Alamogordo,2019-07-30T16:35:27.801901,2019-07-30T16:35:27.801901,
cit_aly_eg,ALY,EG,Alexandria,2019-07-30T16:35:27.805963,2019-07-30T16:35:27.805963,
cit_ama_us,AMA,US,Amarillo,2019-07-30T16:35:27.810747,2019-07-30T16:35:27.810747,
cit_amm_jo,AMM,JO,Amman,2019-07-30T16:35:27.815397,2019-07-30T16:35:27.815397,
cit_anc_us,ANC,US,Anchorage,2019-07-30T16:35:27.819929,2019-07-30T16:35:27.819929,
cit_ank_tr,ANK,TR,Ankara,2019-07-30T16:35:27.824413,2019-07-30T16:35:27.824413,
cit_apw_ws,APW,WS,Apia,2019-07-30T16:35:27.828042,2019-07-30T16:35:27.828042,
cit_atl_us,ATL,US,Atlanta,2019-07-30T16:35:27.831288,2019-07-30T16:35:27.831288,
cit_atp_pg,ATP,PG,Aitape,2019-07-30T16:35:27.834478,2019-07-30T16:35:27.834478,
cit_auh_ae,AUH,AE,Abu Dhabi,2019-07-30T16:35:27.836891,2019-07-30T16:35:27.836891,
cit_aus_us,AUS,US,Austin,2019-07-30T16:35:27.839385,2019-07-30T16:35:27.839385,
cit_auw_us,AUW,US,Wausau,2019-07-30T16:35:27.849474,2019-07-30T16:35:27.849474,
cit_bak_az,BAK,AZ,Baku,2019-07-30T16:35:27.852329,2019-07-30T16:35:27.852329,
cit_beg_rs,BEG,RS,Belgrade,2019-07-30T16:35:27.854678,2019-07-30T16:35:27.854678,
cit_ber_de,BER,DE,Berlin,2019-07-30T16:35:27.85705,2019-07-30T16:35:27.85705,
cit_bet_us,BET,US,Bethel,2019-07-30T16:35:27.859457,2019-07-30T16:35:27.859457,
cit_bfs_gb,BFS,GB,Belfast,2019-07-30T16:35:27.862034,2019-07-30T16:35:27.862034,
cit_bjs_cn,BJS,CN,Beijing,2019-07-30T16:35:27.867348,2019-07-30T16:35:27.867348,
cit_bkk_th,BKK,TH,Bangkok,2019-07-30T16:35:27.869696,2019-07-30T16:35:27.869696,
cit_bos_us,BOS,US,Boston,2019-07-30T16:35:27.872691,2019-07-30T16:35:27.872691,
cit_bpt_us,BPT,US,Beaumont/Port Arthur,2019-07-30T16:35:27.87592,2019-07-30T16:35:27.87592,
cit_bru_be,BRU,BE,Brussels,2019-07-30T16:35:27.878396,2019-07-30T16:35:27.878396,
cit_bue_ar,BUE,AR,Buenos Aires,2019-07-30T16:35:27.880843,2019-07-30T16:35:27.880843,
cit_buh_ro,BUH,RO,Bucharest,2019-07-30T16:35:27.883367,2019-07-30T16:35:27.883367,
cit_bwi_us,BWI,US,Baltimore,2019-07-30T16:35:27.885917,2019-07-30T16:35:27.885917,
cit_byh_us,BYH,US,Blytheville,2019-07-30T16:35:27.88829,2019-07-30T16:35:27.88829,
cit_bze_bz,BZE,BZ,Belize City,2019-07-30T16:35:27.890504,2019-07-30T16:35:27.890504,
cit_cae_us,CAE,US,Columbia,2019-07-30T16:35:27.892715,2019-07-30T16:35:27.892715,
cit_cai_eg,CAI,EG,Cairo,2019-07-30T16:35:27.894795,2019-07-30T16:35:27.894795,
cit_cak_us,CAK,US,Akron/Canton,2019-07-30T16:35:27.897254,2019-07-30T16:35:27.897254,
cit_cas_ma,CAS,MA,Casablanca,2019-07-30T16:35:27.899959,2019-07-30T16:35:27.899959,
cit_cdv_us,CDV,US,Cordova,2019-07-30T16:35:27.902889,2019-07-30T16:35:27.902889,
cit_ceq_fr,CEQ,FR,Cannes,2019-07-30T16:35:27.905666,2019-07-30T16:35:27.905666,
cit_chi_us,CHI,US,Chicago,2019-07-30T16:35:27.908308,2019-07-30T16:35:27.908308,
cit_cle_us,CLE,US,Cleveland,2019-07-30T16:35:27.910611,2019-07-30T16:35:27.910611,
cit_clt_us,CLT,US,Charlotte,2019-07-30T16:35:27.913296,2019-07-30T16:35:27.913296,
cit_cmb_lk,CMB,LK,Colombo,2019-07-30T16:35:27.915474,2019-07-30T16:35:27.915474,
cit_cos_us,COS,US,Colorado Springs,2019-07-30T16:35:27.920429,2019-07-30T16:35:27.920429,
cit_cph_dk,CPH,DK,Copenhagen,2019-07-30T16:35:27.922737,2019-07-30T16:35:27.922737,
cit_crp_us,CRP,US,Corpus Christi,2019-07-30T16:35:27.925266,2019-07-30T16:35:27.925266,
cit_csg_us,CSG,US,Columbus,2019-07-30T16:35:27.927723,2019-07-30T16:35:27.927723,
cit_csm_us,CSM,US,Clinton,2019-07-30T16:35:27.930158,2019-07-30T16:35:27.930158,
cit_cvg_us,CVG,US,Cincinnati,2019-07-30T16:35:27.9324,2019-07-30T16:35:27.9324,
cit_cvn_us,CVN,US,Clovis,2019-07-30T16:35:27.934843,2019-07-30T16:35:27.934843,
cit_cys_us,CYS,US,Cheyenne,2019-07-30T16:35:27.937264,2019-07-30T16:35:27.937264,
cit_day_us,DAY,US,Dayton,2019-07-30T16:35:27.939697,2019-07-30T16:35:27.939697,
cit_den_us,DEN,US,Denver,2019-07-30T16:35:27.942587,2019-07-30T16:35:27.942587,
cit_dfw_us,DFW,US,Dallas,2019-07-30T16:35:27.945301,2019-07-30T16:35:27.945301,
cit_dkr_sn,DKR,SN,Dakar,2019-07-30T16:35:27.947426,2019-07-30T16:35:27.947426,
cit_dom_dm,DOM,DM,Dominica,2019-07-30T16:35:27.949608,2019-07-30T16:35:27.949608,
cit_dro_us,DRO,US,Durango,2019-07-30T16:35:27.951755,2019-07-30T16:35:27.951755,
cit_drt_us,DRT,US,Del Rio,2019-07-30T16:35:27.953849,2019-07-30T16:35:27.953849,
cit_dtt_us,DTT,US,Detroit,2019-07-30T16:35:27.955737,2019-07-30T16:35:27.955737,
cit_dur_za,DUR,ZA,Durban,2019-07-30T16:35:27.95997,2019-07-30T16:35:27.95997,
cit_dus_de,DUS,DE,Duesseldorf,2019-07-30T16:35:27.962103,2019-07-30T16:35:27.962103,
cit_dxb_ae,DXB,AE,Dubai,2019-07-30T16:35:27.96434,2019-07-30T16:35:27.96434,
cit_eap_ch,EAP,CH,Basel/Mulhouse,2019-07-30T16:35:27.966726,2019-07-30T16:35:27.966726,
cit_ecp_us,ECP,US,Panama City,2019-07-30T16:35:27.968764,2019-07-30T16:35:27.968764,
cit_elp_us,ELP,US,El Paso,2019-07-30T16:35:27.971002,2019-07-30T16:35:27.971002,
cit_eyw_us,EYW,US,Key West,2019-07-30T16:35:27.973326,2019-07-30T16:35:27.973326,
cit_fai_us,FAI,US,Fairbanks,2019-07-30T16:35:27.975632,2019-07-30T16:35:27.975632,
cit_fat_us,FAT,US,Fresno,2019-07-30T16:35:27.978097,2019-07-30T16:35:27.978097,
cit_fih_cd,FIH,CD,Kinshasa,2019-07-30T16:35:27.986518,2019-07-30T16:35:27.986518,
cit_fll_us,FLL,US,Fort Lauderdale,2019-07-30T16:35:27.988981,2019-07-30T16:35:27.988981,
cit_fmy_us,FMY,US,Fort Myers,2019-07-30T16:35:27.991102,2019-07-30T16:35:27.991102,
cit_fna_sl,FNA,SL,Freetown,2019-07-30T16:35:27.993294,2019-07-30T16:35:27.993294,
cit_fra_de,FRA,DE,Frankfurt,2019-07-30T16:35:27.995649,2019-07-30T16:35:27.995649,
cit_frd_us,FRD,US,Friday Harbor,2019-07-30T16:35:27.998145,2019-07-30T16:35:27.998145,
cit_fwa_us,FWA,US,Fort Wayne,2019-07-30T16:35:28.00091,2019-07-30T16:35:28.00091,
cit_fyv_us,FYV,US,Fayetteville/Springd.,2019-07-30T16:35:28.003331,2019-07-30T16:35:28.003331,
cit_gcn_us,GCN,US,Grand Canyon,2019-07-30T16:35:28.005754,2019-07-30T16:35:28.005754,
cit_geg_us,GEG,US,Spokane,2019-07-30T16:35:28.008182,2019-07-30T16:35:28.008182,
cit_gla_gb,GLA,GB,Glasgow,2019-07-30T16:35:28.010348,2019-07-30T16:35:28.010348,
cit_got_se,GOT,SE,Goteborg,2019-07-30T16:35:28.012704,2019-07-30T16:35:28.012704,
cit_gst_us,GST,US,Gustavus,2019-07-30T16:35:28.017834,2019-07-30T16:35:28.017834,
cit_gtf_us,GTF,US,Great Falls,2019-07-30T16:35:28.020268,2019-07-30T16:35:28.020268,
cit_gum_gu,GUM,GU,Guam,2019-07-30T16:35:28.022739,2019-07-30T16:35:28.022739,
cit_ham_de,HAM,DE,Hamburg,2019-07-30T16:35:28.025008,2019-07-30T16:35:28.025008,
cit_har_us,HAR,US,Harrisburg,2019-07-30T16:35:28.027378,2019-07-30T16:35:28.027378,
cit_hel_fi,HEL,FI,Helsinki,2019-07-30T16:35:28.02987,2019-07-30T16:35:28.02987,
cit_hfd_us,HFD,US,Hartford,2019-07-30T16:35:28.032282,2019-07-30T16:35:28.032282,
cit_hkg_hk,HKG,HK,Hong Kong,2019-07-30T16:35:28.034485,2019-07-30T16:35:28.034485,
cit_hob_us,HOB,US,Hobbs,2019-07-30T16:35:28.036661,2019-07-30T16:35:28.036661,
cit_hou_us,HOU,US,Houston,2019-07-30T16:35:28.038899,2019-07-30T16:35:28.038899,
cit_hsv_us,HSV,US,Huntsville,2019-07-30T16:35:28.041203,2019-07-30T16:35:28.041203,
cit_hyd_in,HYD,IN,Hyderabad,2019-07-30T16:35:28.044006,2019-07-30T16:35:28.044006,
cit_ict_us,ICT,US,Wichita,2019-07-30T16:35:28.046299,2019-07-30T16:35:28.046299,
cit_iev_ua,IEV,UA,Kiev,2019-07-30T16:35:28.04845,2019-07-30T16:35:28.04845,
cit_ile_us,ILE,US,Killeen/Fort Hood,2019-07-30T16:35:28.050743,2019-07-30T16:35:28.050743,
cit_ipl_us,IPL,US,Imperial/El Centro,2019-07-30T16:35:28.052986,2019-07-30T16:35:28.052986,
cit_isc_gb,ISC,GB,Isles of Scilly,2019-07-30T16:35:28.055172,2019-07-30T16:35:28.055172,
cit_ist_tr,IST,TR,Istanbul,2019-07-30T16:35:28.057388,2019-07-30T16:35:28.057388,
cit_izm_tr,IZM,TR,Izmir,2019-07-30T16:35:28.059742,2019-07-30T16:35:28.059742,
cit_jan_us,JAN,US,Jackson,2019-07-30T16:35:28.062079,2019-07-30T16:35:28.062079,
cit_jax_us,JAX,US,Jacksonville,2019-07-30T16:35:28.064407,2019-07-30T16:35:28.064407,
cit_jnb_za,JNB,ZA,Johannesburg,2019-07-30T16:35:28.069474,2019-07-30T16:35:28.069474,
cit_kcl_us,KCL,US,Chignik,2019-07-30T16:35:28.072063,2019-07-30T16:35:28.072063,
cit_kin_jm,KIN,JM,Kingston,2019-07-30T16:35:28.074206,2019-07-30T16:35:28.074206,
cit_ktn_us,KTN,US,Ketchikan,2019-07-30T16:35:28.076443,2019-07-30T16:35:28.076443,
cit_kul_my,KUL,MY,Kuala Lumpur,2019-07-30T16:35:28.07866,2019-07-30T16:35:28.07866,
cit_las_us,LAS,US,Las Vegas,2019-07-30T16:35:28.082491,2019-07-30T16:35:28.082491,
cit_lbb_us,LBB,US,Lubbock,2019-07-30T16:35:28.088717,2019-07-30T16:35:28.088717,
cit_led_ru,LED,RU,St Petersburg,2019-07-30T16:35:28.091197,2019-07-30T16:35:28.091197,
cit_lex_us,LEX,US,Lexington,2019-07-30T16:35:28.093495,2019-07-30T16:35:28.093495,
cit_lon_gb,LON,GB,London,2019-07-30T16:35:28.095803,2019-07-30T16:35:28.095803,
cit_lpc_us,LPC,US,Lompoc,2019-07-30T16:35:28.098121,2019-07-30T16:35:28.098121,
cit_lts_us,LTS,US,Altus,2019-07-30T16:35:28.100265,2019-07-30T16:35:28.100265,
cit_lul_us,LUL,US,Hattiesburg/Laurel,2019-07-30T16:35:28.102582,2019-07-30T16:35:28.102582,
cit_lys_fr,LYS,FR,Lyon,2019-07-30T16:35:28.10446,2019-07-30T16:35:28.10446,
cit_mad_es,MAD,ES,Madrid,2019-07-30T16:35:28.106523,2019-07-30T16:35:28.106523,
cit_maf_us,MAF,US,Midland,2019-07-30T16:35:28.108779,2019-07-30T16:35:28.108779,
cit_mce_us,MCE,US,Merced,2019-07-30T16:35:28.111347,2019-07-30T16:35:28.111347,
cit_mcn_us,MCN,US,Macon,2019-07-30T16:35:28.114343,2019-07-30T16:35:28.114343,
cit_mde_co,MDE,CO,Medellin,2019-07-30T16:35:28.116761,2019-07-30T16:35:28.116761,
cit_mel_au,MEL,AU,Melbourne,2019-07-30T16:35:28.125825,2019-07-30T16:35:28.125825,
cit_mex_mx,MEX,MX,Mexico City,2019-07-30T16:35:28.128501,2019-07-30T16:35:28.128501,
cit_mgm_us,MGM,US,Montgomery,2019-07-30T16:35:28.130989,2019-07-30T16:35:28.130989,
cit_mgr_us,MGR,US,Moultrie,2019-07-30T16:35:28.133348,2019-07-30T16:35:28.133348,
cit_mia_us,MIA,US,Miami,2019-07-30T16:35:28.135751,2019-07-30T16:35:28.135751,
cit_mil_it,MIL,IT,Milan,2019-07-30T16:35:28.138308,2019-07-30T16:35:28.138308,
cit_mke_us,MKE,US,Milwaukee,2019-07-30T16:35:28.143067,2019-07-30T16:35:28.143067,
cit_mlw_lr,MLW,LR,Monrovia,2019-07-30T16:35:28.145316,2019-07-30T16:35:28.145316,
cit_mma_se,MMA,SE,Malmo,2019-07-30T16:35:28.147418,2019-07-30T16:35:28.147418,
cit_mnl_ph,MNL,PH,Manila,2019-07-30T16:35:28.149794,2019-07-30T16:35:28.149794,
cit_mob_us,MOB,US,Mobile,2019-07-30T16:35:28.15227,2019-07-30T16:35:28.15227,
cit_mon_nz,MON,NZ,Mount Cook,2019-07-30T16:35:28.154646,2019-07-30T16:35:28.154646,
cit_mot_us,MOT,US,Minot,2019-07-30T16:35:28.157126,2019-07-30T16:35:28.157126,
cit_mow_ru,MOW,RU,Moscow,2019-07-30T16:35:28.159772,2019-07-30T16:35:28.159772,
cit_mry_us,MRY,US,Monterey/Carmel,2019-07-30T16:35:28.162118,2019-07-30T16:35:28.162118,
cit_msp_us,MSP,US,Minneapolis/St Paul,2019-07-30T16:35:28.164657,2019-07-30T16:35:28.164657,
cit_msq_by,MSQ,BY,Minsk,2019-07-30T16:35:28.167147,2019-07-30T16:35:28.167147,
cit_msy_us,MSY,US,New Orleans,2019-07-30T16:35:28.169488,2019-07-30T16:35:28.169488,
cit_mty_mx,MTY,MX,Monterrey,2019-07-30T16:35:28.171834,2019-07-30T16:35:28.171834,
cit_muc_de,MUC,DE,Munich,2019-07-30T16:35:28.174069,2019-07-30T16:35:28.174069,
cit_myr_us,MYR,US,Myrtle Beach,2019-07-30T16:35:28.176349,2019-07-30T16:35:28.176349,
cit_myv_us,MYV,US,Marysville,2019-07-30T16:35:28.178777,2019-07-30T16:35:28.178777,
cit_nbo_ke,NBO,KE,Nairobi,2019-07-30T16:35:28.181185,2019-07-30T16:35:28.181185,
cit_ngo_jp,NGO,JP,Nagoya,2019-07-30T16:35:28.185703,2019-07-30T16:35:28.185703,
cit_nha_vn,NHA,VN,Nha Trang,2019-07-30T16:35:28.187796,2019-07-30T16:35:28.187796,
cit_nou_nc,NOU,NC,Noumea,2019-07-30T16:35:28.190781,2019-07-30T16:35:28.190781,
cit_nqt_gb,NQT,GB,Nottingham,2019-07-30T16:35:28.192873,2019-07-30T16:35:28.192873,
cit_ntl_au,NTL,AU,Newcastle,2019-07-30T16:35:28.194922,2019-07-30T16:35:28.194922,
cit_nyc_us,NYC,US,New York,2019-07-30T16:35:28.197132,2019-07-30T16:35:28.197132,
cit_oak_us,OAK,US,Oakland,2019-07-30T16:35:28.19928,2019-07-30T16:35:28.19928,
cit_ogd_us,OGD,US,Ogden,2019-07-30T16:35:28.2013,2019-07-30T16:35:28.2013,
cit_oka_jp,OKA,JP,Okinawa,2019-07-30T16:35:28.203361,2019-07-30T16:35:28.203361,
cit_okc_us,OKC,US,Oklahoma City,2019-07-30T16:35:28.205367,2019-07-30T16:35:28.205367,
cit_oma_us,OMA,US,Omaha,2019-07-30T16:35:28.208019,2019-07-30T16:35:28.208019,
cit_orf_us,ORF,US,Norfolk,2019-07-30T16:35:28.210209,2019-07-30T16:35:28.210209,
cit_orl_us,ORL,US,Orlando,2019-07-30T16:35:28.212213,2019-07-30T16:35:28.212213,
cit_orn_dz,ORN,DZ,Oran,2019-07-30T16:35:28.214298,2019-07-30T16:35:28.214298,
cit_osa_jp,OSA,JP,Osaka,2019-07-30T16:35:28.216476,2019-07-30T16:35:28.216476,
cit_osl_no,OSL,NO,Oslo,2019-07-30T16:35:28.218778,2019-07-30T16:35:28.218778,
cit_par_fr,PAR,FR,Paris,2019-07-30T16:35:28.22369,2019-07-30T16:35:28.22369,
cit_pbi_us,PBI,US,West Palm Beach,2019-07-30T16:35:28.225706,2019-07-30T16:35:28.225706,
cit_pbm_sr,PBM,SR,Paramaribo,2019-07-30T16:35:28.227938,2019-07-30T16:35:28.227938,
cit_phl_us,PHL,US,Philadelphia,2019-07-30T16:35:28.230328,2019-07-30T16:35:28.230328,
cit_phx_us,PHX,US,Phoenix,2019-07-30T16:35:28.232488,2019-07-30T16:35:28.232488,
cit_pip_us,PIP,US,Pilot Point,2019-07-30T16:35:28.234637,2019-07-30T16:35:28.234637,
cit_pit_us,PIT,US,Pittsburgh,2019-07-30T16:35:28.23701,2019-07-30T16:35:28.23701,
cit_pns_us,PNS,US,Pensacola,2019-07-30T16:35:28.23953,2019-07-30T16:35:28.23953,
cit_prg_cz,PRG,CZ,Prague,2019-07-30T16:35:28.242116,2019-07-30T16:35:28.242116,
cit_pry_za,PRY,ZA,Pretoria,2019-07-30T16:35:28.244528,2019-07-30T16:35:28.244528,
cit_psp_us,PSP,US,Palm Springs,2019-07-30T16:35:28.24722,2019-07-30T16:35:28.24722,
cit_pty_pa,PTY,PA,Panama City,2019-07-30T16:35:28.24995,2019-07-30T16:35:28.24995,
cit_ral_us,RAL,US,Riverside,2019-07-30T16:35:28.252154,2019-07-30T16:35:28.252154,
cit_rap_us,RAP,US,Rapid City,2019-07-30T16:35:28.259408,2019-07-30T16:35:28.259408,
cit_rek_is,REK,IS,Reykjavik,2019-07-30T16:35:28.261964,2019-07-30T16:35:28.261964,
cit_rio_br,RIO,BR,Rio de Janeiro,2019-07-30T16:35:28.265259,2019-07-30T16:35:28.265259,
cit_rom_it,ROM,IT,Rome,2019-07-30T16:35:28.267452,2019-07-30T16:35:28.267452,
cit_sac_us,SAC,US,Sacramento,2019-07-30T16:35:28.269625,2019-07-30T16:35:28.269625,
cit_san_us,SAN,US,San Diego,2019-07-30T16:35:28.272312,2019-07-30T16:35:28.272312,
cit_sao_br,SAO,BR,Sao Paulo,2019-07-30T16:35:28.274511,2019-07-30T16:35:28.274511,
cit_sat_us,SAT,US,San Antonio,2019-07-30T16:35:28.276997,2019-07-30T16:35:28.276997,
cit_sav_us,SAV,US,Savannah,2019-07-30T16:35:28.279255,2019-07-30T16:35:28.279255,
cit_sdf_us,SDF,US,Louisville,2019-07-30T16:35:28.283597,2019-07-30T16:35:28.283597,
cit_sdq_do,SDQ,DO,Santo Domingo,2019-07-30T16:35:28.286787,2019-07-30T16:35:28.286787,
cit_sdz_gb,SDZ,GB,Shetland Islands,2019-07-30T16:35:28.28945,2019-07-30T16:35:28.28945,
cit_sea_us,SEA,US,Seattle,2019-07-30T16:35:28.291765,2019-07-30T16:35:28.291765,
cit_sel_kr,SEL,KR,Seoul,2019-07-30T16:35:28.29397,2019-07-30T16:35:28.29397,
cit_sfy_us,SFY,US,Springfield,2019-07-30T16:35:28.296146,2019-07-30T16:35:28.296146,
cit_sgi_pk,SGI,PK,Sargodha,2019-07-30T16:35:28.298529,2019-07-30T16:35:28.298529,
cit_sha_cn,SHA,CN,Shanghai,2019-07-30T16:35:28.300806,2019-07-30T16:35:28.300806,
cit_shv_us,SHV,US,Shreveport,2019-07-30T16:35:28.303098,2019-07-30T16:35:28.303098,
cit_sia_cn,SIA,CN,Xi'an,2019-07-30T16:35:28.30552,2019-07-30T16:35:28.30552,
cit_sin_sg,SIN,SG,Singapore,2019-07-30T16:35:28.307759,2019-07-30T16:35:28.307759,
cit_siy_us,SIY,US,Montague/Yreka,2019-07-30T16:35:28.310213,2019-07-30T16:35:28.310213,
cit_sjc_us,SJC,US,San Jose,2019-07-30T16:35:28.312713,2019-07-30T16:35:28.312713,
cit_sju_pr,SJU,PR,San Juan,2019-07-30T16:35:28.315254,2019-07-30T16:35:28.315254,
cit_slu_lc,SLU,LC,St Lucia,2019-07-30T16:35:28.317491,2019-07-30T16:35:28.317491,
cit_spk_jp,SPK,JP,Sapporo,2019-07-30T16:35:28.320091,2019-07-30T16:35:28.320091,
cit_sps_us,SPS,US,Wichita Falls,2019-07-30T16:35:28.32235,2019-07-30T16:35:28.32235,
cit_srz_bo,SRZ,BO,Santa Cruz,2019-07-30T16:35:28.324493,2019-07-30T16:35:28.324493,
cit_ssi_us,SSI,US,Brunswick,2019-07-30T16:35:28.3299,2019-07-30T16:35:28.3299,
cit_ssm_us,SSM,US,Sault Ste Marie,2019-07-30T16:35:28.332112,2019-07-30T16:35:28.332112,
cit_stl_us,STL,US,St Louis,2019-07-30T16:35:28.334873,2019-07-30T16:35:28.334873,
cit_ags_us,AGS,US,Augusta,2019-07-30T16:35:27.78731,2019-07-30T16:35:27.78731,
cit_bhz_br,BHZ,BR,Belo Horizonte,2019-07-30T16:35:27.864477,2019-07-30T16:35:27.864477,
cit_cmh_us,CMH,US,Columbus,2019-07-30T16:35:27.917884,2019-07-30T16:35:27.917884,
cit_dug_us,DUG,US,Douglas/Bisbee,2019-07-30T16:35:27.957721,2019-07-30T16:35:27.957721,
cit_gsp_us,GSP,US,Greenville/Spartanburg,2019-07-30T16:35:28.015295,2019-07-30T16:35:28.015295,
cit_jkt_id,JKT,ID,Jakarta,2019-07-30T16:35:28.066839,2019-07-30T16:35:28.066839,
cit_lax_us,LAX,US,Los Angeles,2019-07-30T16:35:28.084963,2019-07-30T16:35:28.084963,
cit_mkc_us,MKC,US,Kansas City,2019-07-30T16:35:28.140824,2019-07-30T16:35:28.140824,
cit_nfl_us,NFL,US,Fallon,2019-07-30T16:35:28.183394,2019-07-30T16:35:28.183394,
cit_ozr_us,OZR,US,Fort Rucker/Ozark,2019-07-30T16:35:28.221024,2019-07-30T16:35:28.221024,
cit_scn_de,SCN,DE,Saarbruecken,2019-07-30T16:35:28.281404,2019-07-30T16:35:28.281404,
cit_ssc_us,SSC,US,Sumter,2019-07-30T16:35:28.327299,2019-07-30T16:35:28.327299,
cit_sto_se,STO,SE,Stockholm,2019-07-30T16:35:28.337171,2019-07-30T16:35:28.337171,
cit_stt_vi,STT,VI,St Thomas Island,2019-07-30T16:35:28.339513,2019-07-30T16:35:28.339513,
cit_stx_vi,STX,VI,St Croix Island,2019-07-30T16:35:28.341983,2019-07-30T16:35:28.341983,
cit_syd_au,SYD,AU,Sydney,2019-07-30T16:35:28.344272,2019-07-30T16:35:28.344272,
cit_tci_es,TCI,ES,Tenerife,2019-07-30T16:35:28.346421,2019-07-30T16:35:28.346421,
cit_thr_ir,THR,IR,Tehran,2019-07-30T16:35:28.348821,2019-07-30T16:35:28.348821,
cit_tiw_us,TIW,US,Tacoma,2019-07-30T16:35:28.351296,2019-07-30T16:35:28.351296,
cit_tlv_il,TLV,IL,Tel Aviv-Yafo,2019-07-30T16:35:28.35383,2019-07-30T16:35:28.35383,
cit_tol_us,TOL,US,Toledo,2019-07-30T16:35:28.35637,2019-07-30T16:35:28.35637,
cit_top_us,TOP,US,Topeka,2019-07-30T16:35:28.35897,2019-07-30T16:35:28.35897,
cit_tov_vg,TOV,VG,Tortola,2019-07-30T16:35:28.361386,2019-07-30T16:35:28.361386,
cit_tpa_us,TPA,US,Tampa,2019-07-30T16:35:28.363828,2019-07-30T16:35:28.363828,
cit_tpe_tw,TPE,TW,Taipei,2019-07-30T16:35:28.366045,2019-07-30T16:35:28.366045,
cit_tph_us,TPH,US,Tonopah,2019-07-30T16:35:28.368111,2019-07-30T16:35:28.368111,
cit_tul_us,TUL,US,Tulsa,2019-07-30T16:35:28.370236,2019-07-30T16:35:28.370236,
cit_tus_us,TUS,US,Tucson,2019-07-30T16:35:28.372305,2019-07-30T16:35:28.372305,
cit_twb_au,TWB,AU,Toowoomba,2019-07-30T16:35:28.374305,2019-07-30T16:35:28.374305,
cit_tyo_jp,TYO,JP,Tokyo,2019-07-30T16:35:28.376867,2019-07-30T16:35:28.376867,
cit_ubs_us,UBS,US,Columbus,2019-07-30T16:35:28.379246,2019-07-30T16:35:28.379246,
cit_vce_it,VCE,IT,Venice,2019-07-30T16:35:28.381646,2019-07-30T16:35:28.381646,
cit_vld_us,VLD,US,Valdosta,2019-07-30T16:35:28.383928,2019-07-30T16:35:28.383928,
cit_vps_us,VPS,US,Destin/Ft Walton Beach,2019-07-30T16:35:28.386376,2019-07-30T16:35:28.386376,
cit_vrn_it,VRN,IT,Verona,2019-07-30T16:35:28.388796,2019-07-30T16:35:28.388796,
cit_was_us,WAS,US,Washington,2019-07-30T16:35:28.39134,2019-07-30T16:35:28.39134,
cit_wdg_us,WDG,US,Enid,2019-07-30T16:35:28.399852,2019-07-30T16:35:28.399852,
cit_wdh_na,WDH,NA,Windhoek,2019-07-30T16:35:28.402296,2019-07-30T16:35:28.402296,
cit_yao_cm,YAO,CM,Yaounde,2019-07-30T16:35:28.404753,2019-07-30T16:35:28.404753,
cit_yaz_ca,YAZ,CA,Tofino,2019-07-30T16:35:28.407024,2019-07-30T16:35:28.407024,
cit_ybl_ca,YBL,CA,Campbell River,2019-07-30T16:35:28.409287,2019-07-30T16:35:28.409287,
cit_ycd_ca,YCD,CA,Nanaimo,2019-07-30T16:35:28.411629,2019-07-30T16:35:28.411629,
cit_yea_ca,YEA,CA,Edmonton,2019-07-30T16:35:28.413937,2019-07-30T16:35:28.413937,
cit_yhz_ca,YHZ,CA,Halifax,2019-07-30T16:35:28.416146,2019-07-30T16:35:28.416146,
cit_ykm_us,YKM,US,Yakima,2019-07-30T16:35:28.41853,2019-07-30T16:35:28.41853,
cit_ymq_ca,YMQ,CA,Montreal,2019-07-30T16:35:28.42084,2019-07-30T16:35:28.42084,
cit_yow_ca,YOW,CA,Ottawa,2019-07-30T16:35:28.423094,2019-07-30T16:35:28.423094,
cit_ypr_ca,YPR,CA,Prince Rupert,2019-07-30T16:35:28.425155,2019-07-30T16:35:28.425155,
cit_yto_ca,YTO,CA,Toronto,2019-07-30T16:35:28.427312,2019-07-30T16:35:28.427312,
cit_yum_us,YUM,US,Yuma,2019-07-30T16:35:28.429298,2019-07-30T16:35:28.429298,
cit_yva_km,YVA,KM,Moroni,2019-07-30T16:35:28.431299,2019-07-30T16:35:28.431299,
cit_yvr_ca,YVR,CA,Vancouver,2019-07-30T16:35:28.43345,2019-07-30T16:35:28.43345,
cit_yyj_ca,YYJ,CA,Victoria,2019-07-30T16:35:28.435995,2019-07-30T16:35:28.435995,
